x,Company Name,Website,scraped_text,Wikipedia_URL,CEO,Founder,Founded,Industry,Products,Headquarters,Revenue,Employees,Summary,company_type,is_relevant,is_fortification_potential,notes
11,Kellogg’s,www.kelloggs.com,,https://en.wikipedia.org/wiki/Kellogg's,Steven Cahillane,Will Keith Kellogg,1906,Food processing,"Breakfast cereals, crackers, cookies, snacks, frozen foods","Battle Creek, Michigan, U.S.",$14.3 billion (2021),"31,000 (2021)","Kellogg's is an American multinational food manufacturing company headquartered in Battle Creek, Michigan. It is the world's leading producer of breakfast cereals and a leading producer of crackers, cookies, snacks, and frozen foods.",,False,,
12,Merck & Co.,www.merck.com,"



 
Worldwide
Countries outside of the United States and Canada.
 Our Q4 and full-year 2024 financial results We’re here to help you get the information you need to guide you on your health journey. Find our latest financials, events & presentations, news, stock information and investor contacts. We operate responsibly every day to enable a safe and healthy future for people and communities globally. Read more stories For more than 130 years, we have brought hope to humanity through the development of important medicines and vaccines.  We follow the science where we can make the greatest difference, now and in the future Clinical trials help find new treatments to help save and improve lives. Our progress is due in large part to the important and tough scientific questions we set out to answer with our trials and collaborations.  Media Our latest news, announcements and multimedia resources Contact us If you have a question or need more information about us, find out who you should contact here Sustainability We operate responsibly every day to enable a safe and healthy future for people and communities globally. This website of Merck & Co., Inc., Rahway, N.J., USA (the “company”) includes “forward-looking statements” within the meaning of the safe harbor provisions of the U.S. Private Securities Litigation Reform Act of 1995. These statements are based upon the current beliefs and expectations of the company’s management and are subject to significant risks and uncertainties. There can be no guarantees with respect to pipeline candidates that the candidates will receive the necessary regulatory approvals or that they will prove to be commercially successful. If underlying assumptions prove inaccurate or risks or uncertainties materialize, actual results may differ materially from those set forth in the forward-looking statements. 
Risks and uncertainties include but are not limited to, general industry conditions and competition; general economic factors, including interest rate and currency exchange rate fluctuations; the impact of pharmaceutical industry regulation and health care legislation in the United States and internationally; global trends toward health care cost containment; technological advances, new products and patents attained by competitors; challenges inherent in new product development, including obtaining regulatory approval; the company’s ability to accurately predict future market conditions; manufacturing difficulties or delays; financial instability of international economies and sovereign risk; dependence on the effectiveness of the company’s patents and other protections for innovative products; and the exposure to litigation, including patent litigation, and/or regulatory actions.
The company undertakes no obligation to publicly update any forward-looking statement, whether as a result of new information, future events or otherwise. Additional factors that could cause results to differ materially from those described in the forward-looking statements can be found in the company’s Annual Report on Form 10-K for the year ended December 31, 2023 and the company’s other filings with the Securities and Exchange Commission (SEC) available at the SEC’s Internet site (www.sec.gov).
No Duty to Update

The information contained in this website was current as of the date presented. The company assumes no duty to update the information to reflect subsequent developments. Consequently, the company will not update the information contained in the website and investors should not rely upon the information as current or accurate after the presentation date.

  By continuing, you will be directed to a site intended only for residents of the United States and Canada. We are called MSD everywhere, except in the United States and Canada where we are known as Merck & Co Inc, Rahway, NJ USA.",https://en.wikipedia.org/wiki/Merck_&_Co.,Robert M. Davis,George W. Merck,1891,Pharmaceuticals,"Keytruda, Gardasil, Januvia, Propecia","Kenilworth, New Jersey, United States",$48.7 billion (2021),"77,000 (2021)","Merck & Co., Inc., known as Merck Sharp & Dohme (MSD) outside the United States and Canada, is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. The company was founded in 1891 by George W. Merck and is one of the largest pharmaceutical companies in the world.",Manufacturer,False,,The website does not mention any involvement in nutraceuticals or probiotics.
13,Unilever,www.unilever.com," Unilever GlobalChange location We are a global consumer goods business with strong fundamentals and differentiated capabilities. Our strategy begins with a purpose that places consumers at the heart of everything we do: Brighten everyday life for all. Our international leadership team drives our company, guides our strategy and leads our people. Innovation is at the heart of everything we do within R&D at Unilever. View our latest news, search and browse by topic and date. See the very latest from our press desk, plus media assets and contact details. Be the first to hear about our press releases, features and articles. Led by our 30 Power Brands, our brands are meeting consumers’ daily needs, from household staples to premium indulgence. Discover the ingredients in our home, beauty and personal care products. The world must move further faster to avoid the worst effects of climate change. We’re committed to contributing to the protection and regeneration of nature, within and beyond our value chain. Given the size of the plastics challenge, we’re using our innovation capabilities to find new, scalable solutions. We’re working to improve the livelihoods of people in our global value chain. Our progress and reporting on issues such as human rights, equity, diversity and inclusion and safety. We want to work with partners who share our purpose and values. See what’s involved. Our Partner to Win programme is taking our partnerships to a whole new level. Together with our partners, we’re helping to provide decent livelihoods and supporting inclusive economic growth. We're collaborating with key suppliers to reduce emissions from raw materials, ingredients and packaging by 2030, which will help us progress towards our net zero ambition. 14 February 2025 13 February 2025 7 February 2025 6 February 2025 6 February 2025 3 February 2025 Our latest share information for Unilever PLC Sorry, our share price information is not available at the moment. Please come back later. Unilever released its Q4 and Full Year results on 13 February 2025. There was a webcast at 08:00 am (UK time). JavaScript must be enabled to view this content Climate action has long been a part of how we do business. But the world must move faster to avoid the worst effects of climate change. We’ve set more ambitious climate targets and identified clearer actions to respond to this challenge. The world – and our business – needs resilient natural and agricultural ecosystems to thrive. We’re committed to contributing to the protection and regeneration of nature, within and beyond our value chain. We’ve been working hard to create a circular economy for plastic packaging for a number of years. We’ve learnt that transformation takes time. Given the size of this challenge, we’re using our innovation capabilities to find new, scalable solutions. The impacts of inequality go far beyond income – to health, human rights and economic growth. So we’re working to improve the livelihoods of people in our global value chain. 3.4 billion people in 190 countries use our brands every day. We're always looking to connect with those who share an interest in a sustainable future. Get in touch with Unilever PLC and specialist teams in our headquarters, or find contacts around the world. This is Unilever's global company website  © Unilever 2025",https://en.wikipedia.org/wiki/Unilever,,,,,,,,,Error in JSON Conversion.,Brand,False,,"Unilever is a global consumer goods business with a wide range of brands. However, the website text provided does not mention nutraceuticals or probiotics, so the company is not relevant for this analysis."
14,Roche,www.roche.com,"A healthier future. It’s what drives us to innovate. To continuously advance science and ensure everyone has access to the healthcare they need today and for generations to come. Creating a world where we all have more time with the people we love. That’s what makes us Roche. Perspectives and powerful moments that shape healthcare. Susvimo is the first and only continuous delivery treatment that offers an alternative to regular eye injections to treat diabetic macular edema (DME)  By 2040, women will have lost 74.9 million years to health issues that stop them being an active part of society. The gender health gap will be responsible for a $1 trillion economic loss. XIndex reveals the true costs and explores critical insights.   At Roche, we are committed to ensuring that our websites and digital resources are accessible to all users.  This website contains information on products which is targeted to a wide range of audiences and could contain product details or information otherwise not accessible or valid in your country. Please be aware that we do not take any responsibility for accessing such information which may not comply with any legal process, regulation, registration or usage in the country of your origin.",https://en.wikipedia.org/wiki/Roche,Severin Schwan,Fritz Hoffmann-La Roche,1896,Pharmaceuticals and Diagnostics,"Pharmaceuticals, Diagnostics, Oncology, Neuroscience","Basel, Switzerland",62.8 billion CHF (2021),"101,960 (2021)","Roche is a global healthcare company that develops, manufactures, and markets pharmaceuticals and diagnostics. It is one of the world's largest pharmaceutical companies and a leader in the fields of oncology, immunology, infectious diseases, and neuroscience.",,False,,"Error parsing LLM response: Expecting value: line 3 column 20 (char 50). Extracted Text: {
    ""company_type"": ""Brand"",
    ""is_relevant"": False,
    ""is_fortification_potential"": ""NA"",
    ""notes"": ""Roche is a pharmaceutical company that focuses on developing and selling drugs for various diseases. While they do have a focus on diabetes, their website does not mention nutraceuticals or probiotics, making them not relevant for our purposes.""
}"
15,Nestle Waters,www.nestlewaters.com,,,,,,,,,,,,,False,,
16,Sanofi,www.sanofi.com,"Arno Laber, Lab technican, Frankfurt, Germany Arno Laber, Lab technican, Frankfurt, Germany Shaping the Medicines of Tomorrow Our Science February 12, 2025 Our Science February 11, 2025 Social Impact February 4, 2025 Each of us plays a unique role in bringing our purpose to life. We are an innovative global healthcare company. We turn the impossible into possible. We chase the miracles of science to improve people’s lives.  We have reimagined a bold sustainable approach. Therapeutic areas Compounds in clinical development Clinical trials in phase 3 Better is out there. Better medications, better outcomes, better science. It's all down to people like you, from different backgrounds, in different locations, doing different roles. Take the most important step in your career: help us change the lives of people, families and communities for the better.",https://en.wikipedia.org/wiki/Sanofi,Paul Hudson,Jules-René Guérin,1973,Pharmaceuticals,"Vaccines, drugs, and medical devices","Paris, France",€36.1 billion (2021),"100,000","Sanofi is a global pharmaceutical company that develops, manufactures, and markets a wide range of healthcare products. The company's products include vaccines, drugs, and medical devices. Sanofi is headquartered in Paris, France, and has operations in over 100 countries.",Manufacturer,False,,Sanofi is a pharmaceutical company focused on research and development of medicines. The text does not indicate any involvement in F&B or nutraceuticals.
17,Mondelez International,www.mondelezinternational.com,"TRENDS BRANDS OREO Unveils New Flavor Innovations to Kickstart 2025 Ringing in the New Year with Six New Flavors BUSINESS Reporting Fourth Quarter and FY 2024 Earnings Strong 2024 Results, Long-Term Fundamentals Strong SUSTAINABILITY Snacking Made Right Report 2023 ESG Report",https://en.wikipedia.org/wiki/Mondelez_International,Dirk Van de Put,,2012,Food and beverage,"Chocolate, biscuits, gum, candy, coffee, cheese, and grocery products","Chicago, Illinois, United States",$28.7 billion (2021),"80,000","Mondelez International is an American multinational confectionery, food, and beverage company. It is the world's largest chocolate manufacturer, with brands such as Cadbury, Milka, and Toblerone. The company also produces biscuits, gum, candy, coffee, cheese, and grocery products.",Brand,False,,"Mondelēz International is a brand that produces snacks and beverages. It does not work with specific dosage forms or health segments, so it is not relevant to the analysis."
18,Novartis,www.novartis.com,"About Novartis is an innovative medicines company. Every day, we work to reimagine medicine to improve and extend people’s lives so that patients, healthcare professionals and societies are empowered in the face of serious disease. Our medicines reach more than 250 million people worldwide. Patients and caregivers Information for patients and their caregivers including clinical trial recruiting, managed access programs, funding opportunities for patient organizations and side effects reporting. Healthcare professionals Resources for physicians and other healthcare professionals including clinical trial recruiting, grant funding, congresses and country-level information. Research & development Discover how Novartis turns breakthrough science into transformative, high-value treatments.  Environmental, social and governance Learn about our commitments to making a positive impact on the world by providing access to innovative medicines, protecting the environment, and upholding high ethical standards. Explore the Novartis in Society Integrated Report. Investors Updates and resources for investors including financial information, disclosures, events, share price, ESG and reporting. News Information for journalists including media releases, statements, stories, multimedia resources and more. Careers Novartis is hiring! Find open positions, learn more about our strategy and culture, and apply today. Home Working together, we can reimagine medicine to improve and extend people’s lives. Our innovative medicines address society’s greatest disease burdens and restore possibility for patients. Discover how we unravel the mysteries of biology and develop new technologies to fight disease and change lives. Creating a medicine is just the beginning of the journey. Discover how we embrace societal impact as a core business objective. 
Novartis announced the company’s fourth quarter and 2024 full year financial results.
 Novartis announced the company’s fourth quarter and 2024 full year financial results. 
Read more about our performance against our business, environmental, social and governance (ESG) priorities in the Novartis in Society Integrated Report 2024.
 Read more about our performance against our business, environmental, social and governance (ESG) priorities in the Novartis in Society Integrated Report 2024. Feb 11, 2025 Jan 31, 2025 Jan 13, 2025 
Between May 10-17, 2025, Basel will host the Eurovision Song Contest and we are excited to be an official partner.
 Between May 10-17, 2025, Basel will host the Eurovision Song Contest and we are excited to be an official partner. Working together. Learning together. Thriving together. Discover how you can join us in changing people's lives.",https://en.wikipedia.org/wiki/Novartis,Vasant Narasimhan,"J.R. Geigy, Ciba-Geigy",1996,Pharmaceuticals,"Cosentyx, Entresto, Gilenya, Gleevec, Lucentis, Promacta, Tasigna, Zolgensma","Basel, Switzerland",USD 51.6 billion (2021),"108,000 (2021)","Novartis is a Swiss multinational pharmaceutical company headquartered in Basel, Switzerland. It is one of the largest pharmaceutical companies in the world. Novartis develops, manufactures, and markets a wide range of pharmaceutical products, including prescription drugs, generics, and over-the-counter medicines.",Manufacturer,False,,Novartis is a pharmaceutical company that focuses on innovative medicines. The website text does not mention food and beverages or nutraceuticals.
19,Kraft Heinz,www.kraftheinzcompany.com,"The Kraft Heinz Company has an unparalleled portfolio of powerful and iconic brands. We at Kraft Heinz are unrelenting in our quest to transform the food industry. Join us and bring your appetite for more. Find out what it takes to work here. The Kraft Heinz Company is the third-largest food and beverage company in North America and the fifth-largest food and beverage company in the world, with eight $1 billion+ brands. A globally trusted producer of delicious foods, The Kraft Heinz Company provides high quality, great taste and nutrition for all eating occasions whether at home, in restaurants or on the go. © 2024 The Kraft Heinz Company. All rights reserved. ",https://en.wikipedia.org/wiki/Kraft_Heinz,Miguel Patricio,"James L. Kraft, Henry J. Heinz",2015,Food processing,"Food products, beverages, snacks","Chicago, Illinois, U.S.",$26.52 billion (2021),"36,000",Kraft Heinz is an American food company formed by the merger of Kraft Foods and H. J. Heinz Company in 2015. It is the third-largest food and beverage company in North America and the fifth-largest in the world.,F&B,True,True,"The Kraft Heinz Company is a global food and beverage company with a focus on producing high-quality, nutritious food products."
20,Eli Lilly and Company,www.lilly.com,,https://en.wikipedia.org/wiki/Lilly,David A. Ricks,Eli Lilly,1876,Pharmaceuticals,"Insulin, Humalog, Cialis, Prozac, Cymbalta","Indianapolis, Indiana, United States",$28.31 billion (2021),"34,700 (2021)","Eli Lilly and Company is an American pharmaceutical company headquartered in Indianapolis, Indiana. The company was founded in 1876 by Eli Lilly, a pharmacist and chemist. Lilly is a global leader in the development, manufacturing, and marketing of pharmaceutical products. The company's products include insulin, Humalog, Cialis, Prozac, and Cymbalta.",,False,,
21,Tyson Foods,www.tysonfoods.com,"Who We Are Innovation      Who We Are Innovation         When you think of Tyson, you probably imagine what is only a nugget of the larger picture that is Tyson Foods. Our products range from that juicy ribeye at the five-star restaurant to fresh meat at the local butcher.     We're proud of our growing portfolio of protein-centric brands, offering nutritious and delicious options that fit seamlessly into modern lives. Driven by a commitment to feed the world, we're reimagining the journey from farm to table. With a focus on innovation and doing what's right, we're dedicated to making food that not only tastes good but also nourishes the future. We’re a progressive food company with a multitude of career paths and job opportunities. We embrace the diversity of our team members and their unique backgrounds, experiences, thoughts and talents—in whichever role they pursue. Come see what makes Tyson Foods a great place to work.   Tyson Foods is committed to the communities in which we live and work. When disaster strikes, we’re prepared to respond quickly with a fleet of mobile kitchens and resources to help an entire community—and that’s just what we did when communities in Texas, Iowa and Arkansas were struck by extreme storms and flooding. We are committed to producing safe, high-quality food for our customers and consumers at Tyson Foods. Our robust food safety culture is based on science, innovation and continuous improvement. Our Tyson Foods Local Grain Services (LGS) Sustain program is designed to promote climate-smart practices, including cover crops, reduced tillage, nutrient management, edge-of-field practices and innovative practices, in our operations and across the protein supply chain to ultimately help reduce greenhouse gas emissions.   Copyright 2021 Tyson Foods, Inc.",https://en.wikipedia.org/wiki/Tyson_Foods,Donnie King,John W. Tyson,1935,Food processing,"Chicken, beef, pork, prepared foods","Springdale, Arkansas, United States",$47.04 billion (2022),"141,000","Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas, that operates in the food industry. The company is the world's second-largest processor and marketer of chicken, beef, and pork, and the largest producer of prepared foods.",F&B,True,,"Tyson Foods is a producer of food and beverage products, specifically meat products. It is a relevant company for the analysis of food and beverage fortification."
22,Teva Pharmaceuticals,www.tevapharm.com,,https://en.wikipedia.org/wiki/Teva_Pharmaceuticals,Kåre Schultz,"Eli Hurvitz, Zvi Grinberg, and Gunther Friedlander",1984,Pharmaceuticals,Generic and branded pharmaceuticals,"Petah Tikva, Israel",$16.1 billion (2021),"45,000 (2021)","Teva Pharmaceuticals is an Israeli multinational pharmaceutical company headquartered in Petah Tikva, Israel. It is the largest generic drug manufacturer in the world and one of the largest pharmaceutical companies in the world. Teva develops, manufactures, and markets generic and branded pharmaceuticals, active pharmaceutical ingredients (APIs), and over-the-counter (OTC) products.",,False,,
